id,resource_tag,program_id,crop_id,group_tag,weekly_harvest_channels,alloc_date,seeding_date,target_seedlings,transplant_date,harvest_date,activity_status,seeding_rows,harvest_units,harvest_week_num,kg_harvested,units_harvested
1431,PNQ-GH3,888,10,2025-04,26,2025-05-15 00:00:00+00,2025-01-20 00:00:00+00,443,2025-02-13 00:00:00+00,2025-03-10 00:00:00+00,PGM_SIMULATION,26,403,2025-11,42.1,342
1432,PNQ-GH3,888,10,2025-03,26,2025-05-15 00:00:00+00,2025-01-13 00:00:00+00,443,2025-02-06 00:00:00+00,2025-03-03 00:00:00+00,PGM_SIMULATION,26,403,2025-10,17.4,127
1433,PNQ-GH3,888,10,2025-02,26,2025-05-15 00:00:00+00,2025-01-06 00:00:00+00,443,2025-01-30 00:00:00+00,2025-02-24 00:00:00+00,PGM_SIMULATION,26,403,2025-09,,
1434,PNQ-GH3,888,10,2025-01,26,2025-05-15 00:00:00+00,2024-12-30 00:00:00+00,443,2025-01-23 00:00:00+00,2025-02-17 00:00:00+00,PGM_SIMULATION,26,403,2025-08,,
1435,PNQ-GH3,888,10,2025-08,26,2025-05-15 00:00:00+00,2025-02-17 00:00:00+00,443,2025-03-13 00:00:00+00,2025-04-07 00:00:00+00,PGM_SIMULATION,26,403,2025-15,48,352
1436,PNQ-GH3,888,10,2025-07,26,2025-05-15 00:00:00+00,2025-02-10 00:00:00+00,443,2025-03-06 00:00:00+00,2025-03-31 00:00:00+00,PGM_SIMULATION,26,403,2025-14,43.3,352
1437,PNQ-GH3,888,10,2025-06,26,2025-05-15 00:00:00+00,2025-02-03 00:00:00+00,443,2025-02-27 00:00:00+00,2025-03-24 00:00:00+00,PGM_SIMULATION,26,403,2025-13,36.3,352
1438,PNQ-GH3,888,10,2025-05,26,2025-05-15 00:00:00+00,2025-01-27 00:00:00+00,443,2025-02-20 00:00:00+00,2025-03-17 00:00:00+00,PGM_SIMULATION,26,403,2025-12,39.8,352
1439,PNQ-GH3,888,10,2025-12,26,2025-05-15 00:00:00+00,2025-03-17 00:00:00+00,443,2025-04-10 00:00:00+00,2025-05-05 00:00:00+00,PGM_SIMULATION,26,403,2025-19,32.2,336
1440,PNQ-GH3,888,10,2025-11,26,2025-05-15 00:00:00+00,2025-03-10 00:00:00+00,443,2025-04-03 00:00:00+00,2025-04-28 00:00:00+00,PGM_SIMULATION,26,403,2025-18,25.3,272
1441,PNQ-GH3,888,10,2025-10,26,2025-05-15 00:00:00+00,2025-03-03 00:00:00+00,443,2025-03-27 00:00:00+00,2025-04-21 00:00:00+00,PGM_SIMULATION,26,403,2025-17,45,400
1442,PNQ-GH3,888,10,2025-09,26,2025-05-15 00:00:00+00,2025-02-24 00:00:00+00,443,2025-03-20 00:00:00+00,2025-04-14 00:00:00+00,PGM_SIMULATION,26,403,2025-16,25.8,176
1443,PNQ-GH3,888,10,2025-16,26,2025-05-15 00:00:00+00,2025-04-14 00:00:00+00,443,2025-05-08 00:00:00+00,2025-06-02 00:00:00+00,PGM_SIMULATION,26,403,2025-23,,
1444,PNQ-GH3,888,10,2025-15,26,2025-05-15 00:00:00+00,2025-04-07 00:00:00+00,443,2025-05-01 00:00:00+00,2025-05-26 00:00:00+00,PGM_SIMULATION,26,403,2025-22,40.7,354
1445,PNQ-GH3,888,10,2025-14,26,2025-05-15 00:00:00+00,2025-03-31 00:00:00+00,443,2025-04-24 00:00:00+00,2025-05-19 00:00:00+00,PGM_SIMULATION,26,403,2025-21,17.3,176
1446,PNQ-GH3,888,10,2025-13,26,2025-05-15 00:00:00+00,2025-03-24 00:00:00+00,443,2025-04-17 00:00:00+00,2025-05-12 00:00:00+00,PGM_SIMULATION,26,403,2025-20,17.2,352
1447,PNQ-GH3,888,10,2025-20,26,2025-05-15 00:00:00+00,2025-05-12 00:00:00+00,443,2025-06-05 00:00:00+00,2025-06-30 00:00:00+00,PGM_SIMULATION,26,403,2025-27,,
1448,PNQ-GH3,888,10,2025-19,26,2025-05-15 00:00:00+00,2025-05-05 00:00:00+00,443,2025-05-29 00:00:00+00,2025-06-23 00:00:00+00,PGM_SIMULATION,26,403,2025-26,,
1449,PNQ-GH3,888,10,2025-18,26,2025-05-15 00:00:00+00,2025-04-28 00:00:00+00,443,2025-05-22 00:00:00+00,2025-06-16 00:00:00+00,PGM_SIMULATION,26,403,2025-25,,
1450,PNQ-GH3,888,10,2025-17,26,2025-05-15 00:00:00+00,2025-04-21 00:00:00+00,443,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,PGM_SIMULATION,26,403,2025-24,,
2375,PNQ-GH1,904,16,2025-21,24,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,819,2025-06-09 00:00:00+00,2025-06-30 00:00:00+00,ALLOCATED,48,744,2025-27,12.5,350
2376,PNQ-GH1,904,16,2025-22,24,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,819,2025-06-16 00:00:00+00,2025-07-07 00:00:00+00,ALLOCATED,48,744,2025-28,,
2377,PNQ-GH1,904,16,2025-23,24,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,819,2025-06-23 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,48,744,2025-29,,
2378,PNQ-GH1,901,14,2025-21,30,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,1024,2025-06-09 00:00:00+00,2025-06-30 00:00:00+00,ALLOCATED,60,930,2025-27,11,478
2379,PNQ-GH1,901,14,2025-22,30,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,1024,2025-06-16 00:00:00+00,2025-07-07 00:00:00+00,ALLOCATED,60,930,2025-28,,
2380,PNQ-GH1,901,14,2025-23,30,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,1024,2025-06-23 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,60,930,2025-29,,
2381,PNQ-GH2,890,4,2025-21,37,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,631,2025-06-16 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,37,573,2025-29,,
2382,PNQ-GH2,890,4,2025-22,37,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,631,2025-06-23 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,37,573,2025-30,,
2383,PNQ-GH2,890,4,2025-23,37,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,631,2025-06-30 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,37,573,2025-31,,
2384,PNQ-GH2,890,4,2025-24,37,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,631,2025-07-07 00:00:00+00,2025-08-04 00:00:00+00,ALLOCATED,37,573,2025-32,,
2385,PNQ-GH2,892,11,2025-21,34,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,1160,2025-06-16 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,68,1054,2025-29,38,638
2386,PNQ-GH2,892,11,2025-22,34,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,1160,2025-06-23 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,68,1054,2025-30,,
2387,PNQ-GH2,892,11,2025-23,34,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,1160,2025-06-30 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,68,1054,2025-31,,
2388,PNQ-GH2,892,11,2025-24,34,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,1160,2025-07-07 00:00:00+00,2025-08-04 00:00:00+00,ALLOCATED,68,1054,2025-32,,
2389,PNQ-GH2,902,22,2025-21,9,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,307,2025-06-09 00:00:00+00,2025-06-30 00:00:00+00,ALLOCATED,18,279,2025-27,,
2390,PNQ-GH2,902,22,2025-22,9,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,307,2025-06-16 00:00:00+00,2025-07-07 00:00:00+00,ALLOCATED,18,279,2025-28,,
2391,PNQ-GH2,902,22,2025-23,9,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,307,2025-06-23 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,18,279,2025-29,,
2392,PNQ-GH2,903,18,2025-21,34,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,1160,2025-06-16 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,68,1054,2025-29,,
2393,PNQ-GH2,903,18,2025-22,34,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,1160,2025-06-23 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,68,1054,2025-30,,
2394,PNQ-GH2,903,18,2025-23,34,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,1160,2025-06-30 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,68,1054,2025-31,,
2395,PNQ-GH2,903,18,2025-24,34,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,1160,2025-07-07 00:00:00+00,2025-08-04 00:00:00+00,ALLOCATED,68,1054,2025-32,,
2396,PNQ-GH2,887,26,2025-21,80,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,2728,2025-06-09 00:00:00+00,2025-06-30 00:00:00+00,ALLOCATED,160,2480,2025-27,,
2397,PNQ-GH2,887,26,2025-22,80,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,2728,2025-06-16 00:00:00+00,2025-07-07 00:00:00+00,ALLOCATED,160,2480,2025-28,,
2398,PNQ-GH2,887,26,2025-23,80,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,2728,2025-06-23 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,160,2480,2025-29,,
2399,PNQ-GH2,893,24,2025-21,13,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,444,2025-06-16 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,26,403,2025-29,,
2400,PNQ-GH2,893,24,2025-22,13,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,444,2025-06-23 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,26,403,2025-30,,
2401,PNQ-GH2,893,24,2025-23,13,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,444,2025-06-30 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,26,403,2025-31,,
2402,PNQ-GH2,893,24,2025-24,13,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,444,2025-07-07 00:00:00+00,2025-08-04 00:00:00+00,ALLOCATED,26,403,2025-32,,
2403,PNQ-GH2,894,20,2025-21,13,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,444,2025-06-12 00:00:00+00,2025-07-17 00:00:00+00,ALLOCATED,26,403,2025-29,,
2404,PNQ-GH2,894,20,2025-22,13,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,444,2025-06-19 00:00:00+00,2025-07-24 00:00:00+00,ALLOCATED,26,403,2025-30,,
2405,PNQ-GH2,894,20,2025-23,13,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,444,2025-06-26 00:00:00+00,2025-07-31 00:00:00+00,ALLOCATED,26,403,2025-31,,
2406,PNQ-GH2,894,20,2025-24,13,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,444,2025-07-03 00:00:00+00,2025-08-07 00:00:00+00,ALLOCATED,26,403,2025-32,,
2407,PNQ-GH2,894,20,2025-25,13,2025-05-15 00:00:00+00,2025-06-16 00:00:00+00,444,2025-07-10 00:00:00+00,2025-08-14 00:00:00+00,ALLOCATED,26,403,2025-33,,
2408,PNQ-GH2,900,23,2025-21,6,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,205,2025-06-16 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,12,186,2025-29,,
2409,PNQ-GH2,900,23,2025-22,6,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,205,2025-06-23 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,12,186,2025-30,,
2410,PNQ-GH2,900,23,2025-23,6,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,205,2025-06-30 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,12,186,2025-31,,
2411,PNQ-GH2,900,23,2025-24,6,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,205,2025-07-07 00:00:00+00,2025-08-04 00:00:00+00,ALLOCATED,12,186,2025-32,,
2412,PNQ-GH3,895,9,2025-21,33,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,563,2025-06-16 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,33,511,2025-29,,
2413,PNQ-GH3,895,9,2025-22,33,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,563,2025-06-23 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,33,511,2025-30,,
2414,PNQ-GH3,895,9,2025-23,33,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,563,2025-06-30 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,33,511,2025-31,,
2415,PNQ-GH3,895,9,2025-24,33,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,563,2025-07-07 00:00:00+00,2025-08-04 00:00:00+00,ALLOCATED,33,511,2025-32,,
2416,PNQ-GH3,888,10,2025-21,25,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,426,2025-06-12 00:00:00+00,2025-07-07 00:00:00+00,ALLOCATED,25,387,2025-28,,
2417,PNQ-GH3,888,10,2025-22,25,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,426,2025-06-19 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,25,387,2025-29,,
2418,PNQ-GH3,888,10,2025-23,25,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,426,2025-06-26 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,25,387,2025-30,,
2419,PNQ-GH3,888,10,2025-24,25,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,426,2025-07-03 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,25,387,2025-31,,
2420,PNQ-GH3,889,6,2025-21,38,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,648,2025-06-12 00:00:00+00,2025-07-07 00:00:00+00,ALLOCATED,38,589,2025-28,,
2421,PNQ-GH3,889,6,2025-22,38,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,648,2025-06-19 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,38,589,2025-29,,
2422,PNQ-GH3,889,6,2025-23,38,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,648,2025-06-26 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,38,589,2025-30,,
2423,PNQ-GH3,889,6,2025-24,38,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,648,2025-07-03 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,38,589,2025-31,,
2424,PNQ-GH3,891,5,2025-21,40,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,682,2025-06-12 00:00:00+00,2025-07-07 00:00:00+00,ALLOCATED,40,620,2025-28,,
2425,PNQ-GH3,891,5,2025-22,40,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,682,2025-06-19 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,40,620,2025-29,,
2426,PNQ-GH3,891,5,2025-23,40,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,682,2025-06-26 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,40,620,2025-30,,
2427,PNQ-GH3,891,5,2025-24,40,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,682,2025-07-03 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,40,620,2025-31,,
2428,PNQ-GH3,899,8,2025-21,60,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,1024,2025-06-12 00:00:00+00,2025-07-07 00:00:00+00,ALLOCATED,60,930,2025-28,,
2429,PNQ-GH3,899,8,2025-22,60,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,1024,2025-06-19 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,60,930,2025-29,,
2430,PNQ-GH3,899,8,2025-23,60,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,1024,2025-06-26 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,60,930,2025-30,,
2431,PNQ-GH3,899,8,2025-24,60,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,1024,2025-07-03 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,60,930,2025-31,,
2432,PNQ-GH4,896,2,2025-21,39,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,665,2025-06-12 00:00:00+00,2025-07-07 00:00:00+00,ALLOCATED,39,604,2025-28,,
2433,PNQ-GH4,896,2,2025-22,39,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,665,2025-06-19 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,39,604,2025-29,,
2434,PNQ-GH4,896,2,2025-23,39,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,665,2025-06-26 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,39,604,2025-30,,
2435,PNQ-GH4,896,2,2025-24,39,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,665,2025-07-03 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,39,604,2025-31,73,630
2436,PNQ-GH4,898,1,2025-21,51,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,870,2025-06-12 00:00:00+00,2025-07-07 00:00:00+00,ALLOCATED,51,790,2025-28,95,750
2437,PNQ-GH4,898,1,2025-22,51,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,870,2025-06-19 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,51,790,2025-29,,
2438,PNQ-GH4,898,1,2025-23,51,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,870,2025-06-26 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,51,790,2025-30,,
2439,PNQ-GH4,898,1,2025-24,51,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,870,2025-07-03 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,51,790,2025-31,,
2440,PNQ-GH4,897,3,2025-21,38,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,648,2025-06-16 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,38,589,2025-29,63,640
2441,PNQ-GH4,897,3,2025-22,38,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,648,2025-06-23 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,38,589,2025-30,,
2442,PNQ-GH4,897,3,2025-23,38,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,648,2025-06-30 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,38,589,2025-31,,
2443,PNQ-GH4,897,3,2025-24,38,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,648,2025-07-07 00:00:00+00,2025-08-04 00:00:00+00,ALLOCATED,38,589,2025-32,,
2444,PNQ-GH3,905,42,2025-21,9,2025-05-15 00:00:00+00,2025-05-19 00:00:00+00,293,2025-06-16 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,17,279,2025-29,,
2445,PNQ-GH3,905,42,2025-22,9,2025-05-15 00:00:00+00,2025-05-26 00:00:00+00,293,2025-06-23 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,17,279,2025-30,,
2446,PNQ-GH3,905,42,2025-23,9,2025-05-15 00:00:00+00,2025-06-02 00:00:00+00,293,2025-06-30 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,17,279,2025-31,,
2447,PNQ-GH3,905,42,2025-24,9,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,293,2025-07-07 00:00:00+00,2025-08-04 00:00:00+00,ALLOCATED,17,279,2025-32,,
2448,PNQ-GH1,910,12,2025-23,119,2025-05-27 00:00:00+00,2025-06-02 00:00:00+00,4058,2025-06-23 00:00:00+00,2025-07-14 00:00:00+00,ALLOCATED,239,3689,2025-27,,
2449,PNQ-GH1,910,12,2025-24,119,2025-05-27 00:00:00+00,2025-06-09 00:00:00+00,4058,2025-06-30 00:00:00+00,2025-07-21 00:00:00+00,ALLOCATED,239,3689,2025-28,,
2450,PNQ-GH1,910,12,2025-25,119,2025-05-27 00:00:00+00,2025-06-16 00:00:00+00,4058,2025-07-07 00:00:00+00,2025-07-28 00:00:00+00,ALLOCATED,239,3689,2025-29,,
2451,PNQ-GH3,895,9,2025-17,27,2025-05-15 00:00:00+00,2025-04-21 00:00:00+00,460,2025-05-19 00:00:00+00,2025-06-16 00:00:00+00,PGM_SIMULATION,27,418,2025-25,,
2452,PNQ-GH3,895,9,2025-18,27,2025-05-15 00:00:00+00,2025-04-28 00:00:00+00,460,2025-05-26 00:00:00+00,2025-06-23 00:00:00+00,PGM_SIMULATION,27,418,2025-26,,
2453,PNQ-GH3,895,9,2025-19,27,2025-05-15 00:00:00+00,2025-05-05 00:00:00+00,460,2025-06-02 00:00:00+00,2025-06-30 00:00:00+00,PGM_SIMULATION,27,418,2025-27,,
2454,PNQ-GH3,895,9,2025-20,27,2025-05-15 00:00:00+00,2025-05-12 00:00:00+00,460,2025-06-09 00:00:00+00,2025-07-07 00:00:00+00,PGM_SIMULATION,27,418,2025-28,,
2455,PNQ-GH3,895,9,2025-13,27,2025-05-15 00:00:00+00,2025-03-24 00:00:00+00,460,2025-04-21 00:00:00+00,2025-05-19 00:00:00+00,PGM_SIMULATION,27,418,2025-21,7.4,144
2456,PNQ-GH3,895,9,2025-14,27,2025-05-15 00:00:00+00,2025-03-31 00:00:00+00,460,2025-04-28 00:00:00+00,2025-05-26 00:00:00+00,PGM_SIMULATION,27,418,2025-22,17.7,369
2457,PNQ-GH3,895,9,2025-15,27,2025-05-15 00:00:00+00,2025-04-07 00:00:00+00,460,2025-05-05 00:00:00+00,2025-06-02 00:00:00+00,PGM_SIMULATION,27,418,2025-23,,
2458,PNQ-GH3,895,9,2025-16,27,2025-05-15 00:00:00+00,2025-04-14 00:00:00+00,460,2025-05-12 00:00:00+00,2025-06-09 00:00:00+00,PGM_SIMULATION,27,418,2025-24,,
2459,PNQ-GH3,895,9,2025-09,27,2025-05-15 00:00:00+00,2025-02-24 00:00:00+00,460,2025-03-24 00:00:00+00,2025-04-21 00:00:00+00,PGM_SIMULATION,27,418,2025-17,16.8,320
2460,PNQ-GH3,895,9,2025-10,27,2025-05-15 00:00:00+00,2025-03-03 00:00:00+00,460,2025-03-31 00:00:00+00,2025-04-28 00:00:00+00,PGM_SIMULATION,27,418,2025-18,11.9,304
2461,PNQ-GH3,895,9,2025-11,27,2025-05-15 00:00:00+00,2025-03-10 00:00:00+00,460,2025-04-07 00:00:00+00,2025-05-05 00:00:00+00,PGM_SIMULATION,27,418,2025-19,11.9,288
2462,PNQ-GH3,895,9,2025-12,27,2025-05-15 00:00:00+00,2025-03-17 00:00:00+00,460,2025-04-14 00:00:00+00,2025-05-12 00:00:00+00,PGM_SIMULATION,27,418,2025-20,9.4,288
2463,PNQ-GH3,895,9,2025-05,27,2025-05-15 00:00:00+00,2025-01-27 00:00:00+00,460,2025-02-24 00:00:00+00,2025-03-24 00:00:00+00,PGM_SIMULATION,27,418,2025-13,19.2,272
2464,PNQ-GH3,895,9,2025-06,25,2025-05-15 00:00:00+00,2025-02-03 00:00:00+00,460,2025-03-03 00:00:00+00,2025-03-31 00:00:00+00,PGM_SIMULATION,27,418,2025-14,21.8,272
2465,PNQ-GH3,895,9,2025-07,27,2025-05-15 00:00:00+00,2025-02-10 00:00:00+00,460,2025-03-10 00:00:00+00,2025-04-07 00:00:00+00,PGM_SIMULATION,27,418,2025-15,21.2,304
2466,PNQ-GH3,895,9,2025-08,27,2025-05-15 00:00:00+00,2025-02-17 00:00:00+00,460,2025-03-17 00:00:00+00,2025-04-14 00:00:00+00,PGM_SIMULATION,27,418,2025-16,10.7,208
2467,PNQ-GH3,895,9,2025-01,27,2025-05-15 00:00:00+00,2024-12-30 00:00:00+00,460,2025-01-27 00:00:00+00,2025-02-24 00:00:00+00,PGM_SIMULATION,27,418,2025-09,,
2468,PNQ-GH3,895,9,2025-02,25,2025-05-15 00:00:00+00,2025-01-06 00:00:00+00,460,2025-02-03 00:00:00+00,2025-03-03 00:00:00+00,PGM_SIMULATION,27,418,2025-10,20.6,263
2469,PNQ-GH3,895,9,2025-03,27,2025-05-15 00:00:00+00,2025-01-13 00:00:00+00,460,2025-02-10 00:00:00+00,2025-03-10 00:00:00+00,PGM_SIMULATION,27,418,2025-11,22.8,272
2470,PNQ-GH3,895,9,2025-04,27,2025-05-15 00:00:00+00,2025-01-20 00:00:00+00,460,2025-02-17 00:00:00+00,2025-03-17 00:00:00+00,PGM_SIMULATION,27,418,2025-12,18.3,291
2471,PNQ-GH3,899,8,2025-17,37,2025-05-15 00:00:00+00,2025-04-21 00:00:00+00,630,2025-05-15 00:00:00+00,2025-06-09 00:00:00+00,PGM_SIMULATION,37,573,2025-24,,
2472,PNQ-GH3,899,8,2025-18,37,2025-05-15 00:00:00+00,2025-04-28 00:00:00+00,630,2025-05-22 00:00:00+00,2025-06-16 00:00:00+00,PGM_SIMULATION,37,573,2025-25,,
2473,PNQ-GH3,899,8,2025-19,37,2025-05-15 00:00:00+00,2025-05-05 00:00:00+00,630,2025-05-29 00:00:00+00,2025-06-23 00:00:00+00,PGM_SIMULATION,37,573,2025-26,,
2474,PNQ-GH3,899,8,2025-20,37,2025-05-15 00:00:00+00,2025-05-12 00:00:00+00,630,2025-06-05 00:00:00+00,2025-06-30 00:00:00+00,PGM_SIMULATION,37,573,2025-27,,
2475,PNQ-GH3,899,8,2025-13,37,2025-05-15 00:00:00+00,2025-03-24 00:00:00+00,630,2025-04-17 00:00:00+00,2025-05-12 00:00:00+00,PGM_SIMULATION,37,573,2025-20,40,512
2476,PNQ-GH3,899,8,2025-14,37,2025-05-15 00:00:00+00,2025-03-31 00:00:00+00,630,2025-04-24 00:00:00+00,2025-05-19 00:00:00+00,PGM_SIMULATION,37,573,2025-21,50.3,512
